Fluence (mJ/cm²),Peak mb 0.3  p,Peak mb 0.3  t,Peak mb 0.3  w
0.0,1.0,1.0,1.0
7.3536,1.0223010643689812,1.0272865083375442,1.0553018772196854
14.7072,1.0516979219462748,1.043456291056089,1.030441400304414
22.0608,1.0192600101368474,1.0636685194542699,1.015728056823947
29.4144,1.0278763304612266,1.0343607882769075,1.015220700152207
36.768,1.0243284338570704,1.0485093481556342,1.0111618467782852
44.1216,1.0750126710593004,1.0384032339565437,1.0248604769152714
