Fluence (mJ/cm²),Peak mb 0.03 + algas g,Peak mb 0.03 + algas a,Peak mb 0.03 + algas d
0.0,1.0,1.0,1.0
7.3536,0.9884189325276939,0.9822515212981745,0.9823143001515916
14.7072,0.9954682779456194,0.9929006085192698,0.989388580090955
22.0608,0.9813695871097684,0.9619675456389453,0.9585649317837291
29.4144,0.9566968781470292,0.9639959432048681,0.9585649317837291
36.768,0.9254783484390735,0.9269776876267749,0.9327943405760485
44.1216,0.8927492447129909,0.8945233265720082,0.8984335522991409
